NAME,B25064_001E,B25070_010E,state,county,year
"Ventura County, California",2140,27435,06,111,2022
"Yolo County, California",1655,11115,06,113,2022
"Yuba County, California",1137,2262,06,115,2022
"Alameda County, California",2318,66123,06,001,2023
"Alpine County, California",-666666666,4,06,003,2023
"Amador County, California",1380,485,06,005,2023
"Butte County, California",1369,10269,06,007,2023
"Calaveras County, California",1615,668,06,009,2023
"Colusa County, California",1139,512,06,011,2023
"Contra Costa County, California",2322,34208,06,013,2023
"Del Norte County, California",1182,825,06,015,2023
"El Dorado County, California",1626,4793,06,017,2023
"Fresno County, California",1300,39463,06,019,2023
"Glenn County, California",1103,686,06,021,2023
"Humboldt County, California",1249,7169,06,023,2023
"Imperial County, California",1012,5409,06,025,2023
"Inyo County, California",1140,279,06,027,2023
"Kern County, California",1220,29487,06,029,2023
"Kings County, California",1228,4514,06,031,2023
"Lake County, California",1292,1868,06,033,2023
"Lassen County, California",1043,563,06,035,2023
"Los Angeles County, California",1893,534394,06,037,2023
"Madera County, California",1307,3912,06,039,2023
"Marin County, California",2584,10370,06,041,2023
"Mariposa County, California",1268,416,06,043,2023
"Mendocino County, California",1325,3004,06,045,2023
"Merced County, California",1284,9166,06,047,2023
"Modoc County, California",818,162,06,049,2023
"Mono County, California",1593,322,06,051,2023
"Monterey County, California",1995,15891,06,053,2023
"Napa County, California",2141,4127,06,055,2023
"Nevada County, California",1635,3233,06,057,2023
"Orange County, California",2352,131017,06,059,2023
"Placer County, California",1991,10568,06,061,2023
"Plumas County, California",1034,327,06,063,2023
"Riverside County, California",1814,64994,06,065,2023
"Sacramento County, California",1702,62427,06,067,2023
"San Benito County, California",1922,1456,06,069,2023
"San Bernardino County, California",1706,74256,06,071,2023
"San Diego County, California",2154,148483,06,073,2023
"San Francisco County, California",2419,39357,06,075,2023
"San Joaquin County, California",1633,21822,06,077,2023
"San Luis Obispo County, California",1899,11977,06,079,2023
"San Mateo County, California",2893,26740,06,081,2023
"Santa Barbara County, California",2050,19880,06,083,2023
"Santa Clara County, California",2814,59262,06,085,2023
"Santa Cruz County, California",2172,10673,06,087,2023
"Shasta County, California",1267,5711,06,089,2023
"Sierra County, California",1181,12,06,091,2023
"Siskiyou County, California",1043,1580,06,093,2023
"Solano County, California",2088,15690,06,095,2023
"Sonoma County, California",2093,17587,06,097,2023
"Stanislaus County, California",1528,17784,06,099,2023
"Sutter County, California",1364,2752,06,101,2023
"Tehama County, California",1159,1754,06,103,2023
"Trinity County, California",922,234,06,105,2023
"Tulare County, California",1206,13864,06,107,2023
"Tuolumne County, California",1247,1606,06,109,2023
"Ventura County, California",2248,27709,06,111,2023
"Yolo County, California",1757,10329,06,113,2023
"Yuba County, California",1209,2112,06,115,2023
