NAME,B25064_001E,B25070_010E,state,county,year
"Sutter County, California",898,2947,06,101,2014
"San Joaquin County, California",1033,27425,06,077,2014
"Merced County, California",870,9394,06,047,2014
"Mariposa County, California",838,419,06,043,2014
"Yuba County, California",884,2628,06,115,2014
"Contra Costa County, California",1395,35574,06,013,2014
"Lassen County, California",901,878,06,035,2014
"Stanislaus County, California",993,21820,06,099,2014
"Sonoma County, California",1302,21228,06,097,2014
"Tehama County, California",833,1621,06,103,2014
"Mono County, California",1061,326,06,051,2014
"San Benito County, California",1265,1762,06,069,2014
"Sierra County, California",1010,71,06,091,2014
"Sacramento County, California",1035,65301,06,067,2014
"El Dorado County, California",1073,4431,06,017,2014
"Monterey County, California",1228,16616,06,053,2014
"San Diego County, California",1328,137411,06,073,2014
"Tulare County, California",826,15164,06,107,2014
"Yolo County, California",1096,10658,06,113,2014
"Humboldt County, California",899,7620,06,023,2014
"Nevada County, California",1190,3163,06,057,2014
"Alpine County, California",775,17,06,003,2014
"Madera County, California",937,3766,06,039,2014
"Los Angeles County, California",1221,539387,06,037,2014
"Mendocino County, California",972,4274,06,045,2014
"Santa Cruz County, California",1427,12556,06,087,2014
"Trinity County, California",802,357,06,105,2014
"Riverside County, California",1182,71092,06,065,2014
"San Bernardino County, California",1113,71185,06,071,2014
"Santa Clara County, California",1637,62342,06,085,2014
"Marin County, California",1659,10847,06,041,2014
"Placer County, California",1277,10370,06,061,2014
"Siskiyou County, California",799,2146,06,093,2014
"Shasta County, California",932,7709,06,089,2014
"Solano County, California",1290,15990,06,095,2014
"Del Norte County, California",843,1100,06,015,2014
"Glenn County, California",716,747,06,021,2014
"Butte County, California",899,10802,06,007,2014
"Plumas County, California",824,558,06,063,2014
"San Luis Obispo County, California",1226,12746,06,079,2014
"Kern County, California",887,30520,06,029,2014
"Ventura County, California",1494,26252,06,111,2014
"Calaveras County, California",1072,774,06,009,2014
"San Mateo County, California",1664,24348,06,081,2014
"Tuolumne County, California",924,1951,06,109,2014
"Amador County, California",1029,975,06,005,2014
"Merced County, California",873,9641,06,047,2015
"Mariposa County, California",812,430,06,043,2015
"Yuba County, California",885,2693,06,115,2015
"Contra Costa County, California",1426,35776,06,013,2015
"Lassen County, California",882,839,06,035,2015
"Stanislaus County, California",989,21266,06,099,2015
"Sonoma County, California",1320,20937,06,097,2015
"Tehama County, California",782,1839,06,103,2015
"Mono County, California",1068,187,06,051,2015
"San Benito County, California",1353,1489,06,069,2015
"Sacramento County, California",1036,65068,06,067,2015
"El Dorado County, California",1054,4188,06,017,2015
"Monterey County, California",1236,16244,06,053,2015
"Sierra County, California",938,52,06,091,2015
"San Diego County, California",1344,139017,06,073,2015
"Tulare County, California",830,15517,06,107,2015
"Yolo County, California",1102,10628,06,113,2015
"Humboldt County, California",892,7655,06,023,2015
"Nevada County, California",1191,3159,06,057,2015
"Alpine County, California",913,16,06,003,2015
"Madera County, California",926,3621,06,039,2015
"Mendocino County, California",960,4478,06,045,2015
"Santa Cruz County, California",1441,12848,06,087,2015
"Trinity County, California",786,385,06,105,2015
"Los Angeles County, California",1231,544843,06,037,2015
"Riverside County, California",1179,72674,06,065,2015
"San Bernardino County, California",1116,74686,06,071,2015
"Santa Clara County, California",1705,62962,06,085,2015
"Marin County, California",1678,10606,06,041,2015
"Placer County, California",1303,10526,06,061,2015
"Siskiyou County, California",806,2045,06,093,2015
"Shasta County, California",926,7547,06,089,2015
"Solano County, California",1294,16383,06,095,2015
"Del Norte County, California",808,1098,06,015,2015
"Glenn County, California",725,863,06,021,2015
"Butte County, California",905,11276,06,007,2015
"Plumas County, California",836,581,06,063,2015
"San Luis Obispo County, California",1235,12946,06,079,2015
"Kern County, California",888,30205,06,029,2015
"Ventura County, California",1507,26756,06,111,2015
"Calaveras County, California",1038,944,06,009,2015
"San Mateo County, California",1728,25719,06,081,2015
"Tuolumne County, California",917,1695,06,109,2015
"Amador County, California",1047,1036,06,005,2015
"Lake County, California",891,3300,06,033,2015
"Modoc County, California",653,306,06,049,2015
"Inyo County, California",844,554,06,027,2015
"Santa Barbara County, California",1369,19625,06,083,2015
"Imperial County, California",766,5981,06,025,2015
"Alameda County, California",1367,67493,06,001,2015
"Napa County, California",1405,4710,06,055,2015
"San Francisco County, California",1558,46778,06,075,2015
"Colusa County, California",869,506,06,011,2015
"Kings County, California",881,4586,06,031,2015
"Fresno County, California",886,41715,06,019,2015
"Orange County, California",1548,121416,06,059,2015
"Sutter County, California",906,3030,06,101,2015
"San Joaquin County, California",1024,27525,06,077,2015
"San Diego County, California",1395,141431,06,073,2016
"Tulare County, California",847,15363,06,107,2016
"Yolo County, California",1147,10330,06,113,2016
"Humboldt County, California",899,7455,06,023,2016
"Nevada County, California",1205,2847,06,057,2016
"Alpine County, California",1109,12,06,003,2016
"Madera County, California",963,3824,06,039,2016
"Mendocino County, California",975,4794,06,045,2016
